1:	17217459
2:	15458645
3:	17217459
4:	17209125
5:	14745029
6:	19392685
7:	19392685
8:	19392685
9:	19392685
10:	18591352
11:	18591352
12:	18178669
13:	18178669
14:	19060218
15:	18786002
16:	16367964
17:	17655650
18:	17655650
23:	15743450
24:	15743450
25:	19666544
26:	16278345
27:	17485080
28:	16740662
30:	17081979
31:	17081979
33:	18024560
34:	18849491
35:	15618487
36:	16481625
37:	18643985
38:	18643975
39:	18612100
40:	17270011
41:	17270011
42:	16460513
43:	16460513
44:	16210544
45:	16286448
46:	18485060
49:	18178669
50:	19060218
51:	16377756
53:	15659631
54:	15659631
55:	15659631
